2025/02/13 08:25:11 [error] 20#20: *163 open() "/assets/start.jhtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /start.jhtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 20#20: *164 open() "/assets/versa/login" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /versa/login HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *165 open() "/assets/main.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /main.aspx HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *166 open() "/assets/login.html" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /login.html HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *167 open() "/assets/menu.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /menu.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *168 "/assets/p/login/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /p/login/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *169 open() "/assets/admin.html" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.html HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *171 open() "/assets/api/version" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /api/version HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *170 open() "/assets/admin.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.cgi HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *172 "/assets/portal/index.html" is not found (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /portal/ HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *173 open() "/assets/localstart.asp" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.asp HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *174 open() "/assets/status" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /status HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:11 [error] 21#21: *175 open() "/assets/default.jhtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /default.jhtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 21#21: *176 open() "/assets/status" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /status HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 21#21: *177 open() "/assets/admin.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 21#21: *178 open() "/assets/info.asp" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /info.asp HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 21#21: *179 open() "/assets/default.jsa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /default.jsa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 21#21: *180 open() "/assets/cgi-bin/param.cgi" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /cgi-bin/param.cgi?get_device_conf HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *181 open() "/assets/start.cfm" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /start.cfm HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *182 open() "/assets/lms/db" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /lms/db HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *183 open() "/assets/start.asp" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /start.asp HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *184 open() "/assets/ext-js/app/common/zld_product_spec.js" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *185 open() "/assets/localstart.jsa" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /localstart.jsa HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:12 [error] 22#22: *186 open() "/assets/main.asp" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /main.asp HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:13 [error] 22#22: *187 open() "/assets/index.shtml" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /index.shtml HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:13 [error] 22#22: *188 open() "/assets/admin.aspx" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /admin.aspx HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
2025/02/13 08:25:13 [error] 22#22: *189 open() "/assets/main.php" failed (2: No such file or directory), client: 5.39.216.167, server: , request: "GET /main.php HTTP/1.1", host: "FREE-193.93.76-135.onecom.com.ua:8080"
